timestamp,co2_ppm,temp_c,humidity,voc_ppb
2024-01-01 00:00:00,600.2,22.0,55.1,121.1
2024-01-01 00:00:05,600.2,22.0,54.99,121.0
2024-01-01 00:00:10,600.5,22.02,55.05,120.1
2024-01-01 00:00:15,601.3,22.05,54.98,121.3
2024-01-01 00:00:20,601.1,22.06,54.95,121.2
2024-01-01 00:00:25,601.0,22.08,54.96,120.7
2024-01-01 00:00:30,601.8,22.08,54.94,121.5
2024-01-01 00:00:35,602.2,22.08,54.78,121.9
2024-01-01 00:00:40,602.0,22.11,54.91,122.0
2024-01-01 00:00:45,602.2,22.12,55.03,121.5
2024-01-01 00:00:50,602.0,22.12,55.01,121.3
2024-01-01 00:00:55,601.8,22.12,55.11,121.7
2024-01-01 00:01:00,601.9,22.14,55.07,121.4
2024-01-01 00:01:05,600.9,22.16,54.97,121.2
2024-01-01 00:01:10,600.1,22.14,54.97,120.6
2024-01-01 00:01:15,599.8,22.15,54.86,121.2
2024-01-01 00:01:20,599.3,22.15,54.92,120.8
2024-01-01 00:01:25,599.4,22.15,54.85,121.2
2024-01-01 00:01:30,599.0,22.18,54.69,121.2
2024-01-01 00:01:35,598.3,22.17,54.32,120.8
2024-01-01 00:01:40,599.0,22.16,54.31,122.3
2024-01-01 00:01:45,598.9,22.14,54.34,122.4
2024-01-01 00:01:50,598.9,22.14,54.48,121.4
2024-01-01 00:01:55,598.2,22.13,54.3,123.0
2024-01-01 00:02:00,598.0,22.11,54.41,123.9
2024-01-01 00:02:05,598.0,22.09,54.36,123.6
2024-01-01 00:02:10,597.4,22.07,54.35,123.6
2024-01-01 00:02:15,597.6,22.06,54.35,124.3
2024-01-01 00:02:20,597.3,22.07,54.35,124.7
2024-01-01 00:02:25,597.2,22.03,54.15,125.5
2024-01-01 00:02:30,596.9,22.01,54.22,125.6
2024-01-01 00:02:35,597.8,22.01,54.3,125.3
2024-01-01 00:02:40,597.8,22.04,54.4,125.4
2024-01-01 00:02:45,597.3,22.03,54.45,124.5
2024-01-01 00:02:50,597.7,22.03,54.43,124.3
2024-01-01 00:02:55,597.1,22.03,54.28,124.4
2024-01-01 00:03:00,597.2,21.99,54.32,124.7
2024-01-01 00:03:05,596.2,22.0,54.33,126.1
2024-01-01 00:03:10,595.5,22.01,54.33,125.3
2024-01-01 00:03:15,595.6,22.03,54.37,126.5
